Lat,Lon,ID,P,K,Ca
39.70754242,-83.44733429,50139,120,228,2646
39.71095657,-83.44744873,50166,146,184,3318
39.71046066,-83.44493866,50176,164,272,3003
39.71349335,-83.44644165,50188,60,180,2310
39.70813751,-83.4416275,50203,126,316,3864
39.70616531,-83.44418335,50210,380,348,4074
39.70624542,-83.44709778,50216,120,368,3255
39.70147705,-83.44908142,50254,192,360,3171
39.71286011,-83.44487762,50260,44,308,4158
39.70796967,-83.44837952,50264,250,252,1911
39.70396042,-83.44525146,50269,112,168,2205
39.70420837,-83.44577026,50302,44,216,2730
39.7142067,-83.44754028,50318,66,208,3318
39.70989609,-83.44532776,50327,120,260,4410
39.70839691,-83.45038605,50336,54,108,2205
39.70697784,-83.44577789,50417,176,260,2961
39.70593643,-83.44608307,50471,192,276,3381
39.71367264,-83.44454193,50500,138,280,3969
39.70964813,-83.44721985,50530,84,248,3192
39.71110535,-83.44844055,50583,120,268,4032
39.71326065,-83.44446564,50591,44,232,3696
39.70745468,-83.4405365,50632,68,132,2331
39.7159462,-83.44784546,50657,48,256,4074
39.70304108,-83.44460297,50670,164,260,3003
39.70241547,-83.44787598,50677,84,232,3423
39.70954514,-83.44574738,50688,146,324,3444
39.7130394,-83.44636536,50700,62,220,2688
39.70581055,-83.44750977,50782,240,272,3276
39.7060051,-83.44124603,50797,138,144,2961
39.70970917,-83.44771576,50804,176,156,2478
39.70730209,-83.44487,50917,154,192,2856
39.70749664,-83.4395752,50929,216,328,3801
39.70534897,-83.44017029,50951,154,296,3276
39.70893478,-83.44419098,50997,116,236,3801
39.70492554,-83.44735718,51017,176,328,3906
39.70589066,-83.44849396,51024,104,188,2583
39.71306229,-83.44539642,51080,44,232,3822
39.7065506,-83.4457016,51179,154,384,3654
39.7029953,-83.44265747,51290,72,300,3045
39.70493317,-83.43864441,51375,96,308,3654
39.71306992,-83.44685364,51396,32,224,2268
39.70489502,-83.43911743,51446,108,388,2898
39.70406342,-83.44235992,51483,164,320,4011
39.71356583,-83.44791412,51547,112,268,2919
39.7070961,-83.44289398,51559,192,396,4662
39.70795059,-83.44304657,51562,104,224,3549
39.70762253,-83.44008636,51607,70,172,2583
39.70198059,-83.44780731,51640,192,196,3318
39.70706177,-83.4394989,51841,120,208,3108
39.70144653,-83.4467392,51870,112,304,3339
39.70605469,-83.44464874,51871,88,164,2898
39.70290375,-83.44554138,51998,50,216,3171
39.70375061,-83.44181824,52009,74,272,3045
39.70188141,-83.44826508,52018,56,192,2835
39.70751572,-83.44926453,52088,56,200,2478
39.70788574,-83.44061279,52172,76,160,2436
39.70621872,-83.44903564,52215,192,180,2373
39.71120453,-83.44555664,52235,46,140,2268
39.70807266,-83.44403839,52247,164,252,3612
39.70477295,-83.44490814,52258,240,224,4326
39.71500397,-83.44525909,52266,40,168,2163
39.71599197,-83.4464035,52327,52,272,4158
39.70579529,-83.4388504,52330,164,328,3738
